,Date,SMB
1,2001-01-02,0.115836998543047
2,2001-01-03,0.0383097794623746
3,2001-01-04,-0.0140667877580605
4,2001-01-05,0.0156393037734845
5,2001-01-08,-0.00459740516193744
6,2001-01-09,0.00342015305598879
7,2001-01-10,0.0161304109584598
8,2001-01-11,-0.0115939056085374
9,2001-01-12,0.0107793602724142
10,2001-01-15,-0.00295184602635752
11,2001-01-16,0.00321781115215292
12,2001-01-17,0.0138123506891685
13,2001-01-18,-0.0218466468894732
14,2001-01-19,0.00893711605307387
15,2001-01-22,0.00544910932692144
16,2001-01-23,0.012051266864778
17,2001-01-24,-0.00815701799289377
18,2001-01-26,-0.00860537889377518
19,2001-01-29,-0.00437211285425421
20,2001-01-30,0.00897289930110563
21,2001-01-31,-0.0166288286893675
22,2001-02-01,0.013015468020076
23,2001-02-02,0.0253746068337333
24,2001-02-05,0.00612720073481964
25,2001-02-06,0.0157507522376526
26,2001-02-07,-0.00336648616425913
27,2001-02-08,0.00724372854242567
28,2001-02-09,0.00369710228764047
29,2001-02-12,0.00649242977838283
30,2001-02-13,0.000299373195264649
31,2001-02-14,3.00739003568171e-05
32,2001-02-15,-0.000420252930275597
33,2001-02-16,0.00220840563315011
34,2001-02-19,-0.00274796199156596
35,2001-02-20,-0.00973167313569716
36,2001-02-21,0.000736700564337889
37,2001-02-22,0.00511066209345233
38,2001-02-23,0.00938245556680768
39,2001-02-28,-0.0270824087640062
40,2001-03-01,0.0295521955374815
41,2001-03-02,-0.00380234357196779
42,2001-03-05,0.0186855539287092
43,2001-03-06,-0.00616066769571007
44,2001-03-07,-0.00665090048917402
45,2001-03-08,-0.0113540112549455
46,2001-03-09,-0.00936234665033376
47,2001-03-12,0.0195657616116071
48,2001-03-13,0.00298257222156243
49,2001-03-14,-0.0065156252819974
50,2001-03-15,-0.00246768752495623
51,2001-03-16,0.00900272638981601
52,2001-03-19,0.00182879879603037
53,2001-03-20,0.00463287920100251
54,2001-03-21,0.000715555298798853
55,2001-03-22,0.00811880215030448
56,2001-03-23,-0.0327605795392353
57,2001-03-26,-0.017017015475239
58,2001-03-27,-0.0101525793937738
59,2001-03-28,0.014049677551226
60,2001-03-29,-0.0131319690274392
61,2001-03-30,-0.00249386305801161
62,2001-04-02,0.00486052908210095
63,2001-04-03,0.0102300708152364
64,2001-04-04,-0.0269733147740978
65,2001-04-05,-0.0171285015911154
66,2001-04-06,0.0217335706528843
67,2001-04-09,-0.011173283517122
68,2001-04-10,-0.00290242357390179
69,2001-04-11,0.00422260133217887
70,2001-04-12,-0.0153285147690753
71,2001-04-16,0.0126666915672413
72,2001-04-17,0.0124672089416053
73,2001-04-18,0.0021790946452863
74,2001-04-19,-0.00665890959035151
75,2001-04-20,-0.00585746331707354
76,2001-04-23,-0.0230081352035937
77,2001-04-24,-0.0188794702395339
78,2001-04-25,-0.0209557498535552
79,2001-04-26,0.00165167168093393
80,2001-04-27,-0.0231743769699765
81,2001-04-30,-0.0233994530180794
82,2001-05-02,-0.00173558661832063
83,2001-05-03,0.0280746758533785
84,2001-05-04,0.0131140179574243
85,2001-05-07,0.00943057311627264
86,2001-05-08,-0.0043930103552818
87,2001-05-09,-0.0159839116431846
88,2001-05-10,-0.0187627937941032
89,2001-05-11,0.0040184150371923
90,2001-05-14,-0.0150941645195655
91,2001-05-15,-0.0412831131409549
92,2001-05-16,0.00345128911006445
93,2001-05-17,-0.00214114335517027
94,2001-05-18,-0.0102383666095171
95,2001-05-21,-0.0236048060905952
96,2001-05-22,-0.00926012741047029
97,2001-05-23,-0.0255479626621434
98,2001-05-24,-0.0042151925722597
99,2001-05-25,-0.0238593282146864
100,2001-05-28,-0.00169166917992228
101,2001-05-29,0.0257773726753596
102,2001-05-30,0.0245834816156144
103,2001-05-31,-0.00655877684472934
104,2001-06-01,-0.00170304063772972
105,2001-06-04,-0.00181346092342287
106,2001-06-05,-0.00520295079214567
107,2001-06-06,0.00725115167094058
108,2001-06-07,-0.00360531709721678
109,2001-06-08,0.0160301118657986
110,2001-06-11,-0.0142201747244614
111,2001-06-12,0.0080444820775867
112,2001-06-13,0.0103748312831912
113,2001-06-15,-0.00729602182786002
114,2001-06-18,-0.00722699932241791
115,2001-06-19,0.00732762764974687
116,2001-06-20,-0.00625651851981482
117,2001-06-21,0.0210685234687249
118,2001-06-22,0.00286287554942796
119,2001-06-25,-0.0151648897051478
120,2001-06-26,-0.00349492657773012
121,2001-06-27,0.00853394087112289
122,2001-06-28,0.00737203544235941
123,2001-06-29,-0.0205663048734272
124,2001-07-02,-0.00798684814850432
125,2001-07-03,0.0284937747533057
126,2001-07-04,-0.00414049723596127
127,2001-07-05,-0.00722952306445519
128,2001-07-06,0.00732892855672053
129,2001-07-10,-0.00820509226978285
130,2001-07-11,0.0128615177967573
131,2001-07-12,-0.0379433852660468
132,2001-07-13,-0.0122947966352885
133,2001-07-16,0.016198353303041
134,2001-07-17,0.0214126920625282
135,2001-07-18,0.00328794607106481
136,2001-07-19,-0.00739333503499665
137,2001-07-20,0.00774030994413673
138,2001-07-23,-0.00226219641494712
139,2001-07-24,-0.00758610986092967
140,2001-07-25,-0.00570348444071625
141,2001-07-26,0.00535150646440694
142,2001-07-27,0.00597039851311837
143,2001-07-30,0.00779807315096921
144,2001-07-31,-0.0116396630609782
145,2001-08-01,-0.00466372215484763
146,2001-08-02,0.00662288878281836
147,2001-08-03,0.0120592498105779
148,2001-08-06,-0.0193988722497254
149,2001-08-07,0.0109361295477853
150,2001-08-08,0.0125897441663903
151,2001-08-09,0.0092952369345969
